home_team,away_team,game_id,season,date,pts_H,pts_A,winner,playoff,fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,referee_name,referee_id
POR,HOU,0022200080,2022-23,2022-10-28,125,111,home,False,0.4188034188034188,0.34615384615384615,0.7642276422764228,242,99,75,31,24,0.5257412089174902,0.2,0.2,0.4674698795180723,0.3782051282051282,0.7843137254901961,227,96,75,37,22,0.5877840437883562,0.8,0.8,106.62358642972536,115.74675324675326,114.1914191419142,109.58677685950413,12.66,13.566666666666666,Marc Davis,1830
PHX,HOU,0022200094,2022-23,2022-10-30,124,109,home,False,0.4199288256227758,0.35,0.7708333333333334,281,122,90,41,30,0.5276960470768837,0.167,0.2,0.48464912280701755,0.35947712418300654,0.8348623853211009,225,149,65,38,20,0.5833796333042305,0.8,0.6,107.25244072524407,117.22689075630252,118.46921797004993,106.15640599001664,12.704761904761904,15.183333333333334,Michael Smith,1193
LAC,HOU,0022200102,2022-23,2022-10-31,95,93,home,False,0.4221879815100154,0.3464566929133858,0.7823529411764706,330,140,105,48,31,0.5312240950538824,0.143,0.2,0.46356275303643724,0.3149171270718232,0.7295081967213115,271,124,100,39,35,0.5514168857727141,0.333,0.4,105.50795593635252,114.63714637146371,100.57553956834533,106.84736091298146,12.058333333333334,12.031428571428572,Leon Wood,1201
HOU,LAC,0022200112,2022-23,2022-11-02,101,109,away,False,0.4578313253012048,0.30414746543778803,0.7266187050359713,317,147,113,46,45,0.5442568830198081,0.429,0.2,0.417910447761194,0.3404255319148936,0.7772020725388601,374,157,118,57,39,0.5243819349815068,0.125,0.2,101.89155107187895,106.25,105.13100436681222,114.27003293084523,12.272619047619047,11.765079365079366,JB DeRosa,1155
MIN,HOU,0022200137,2022-23,2022-11-05,129,117,home,False,0.41818181818181815,0.334375,0.7757009345794392,424,174,137,66,44,0.5238478610905609,0.111,0.2,0.4579326923076923,0.3184713375796178,0.7536945812807881,432,224,134,67,49,0.5508400989884079,0.444,0.4,105.98626104023552,115.38461538461537,110.31822565091612,109.19540229885058,12.205,12.74,Brian Forte,101283
ORL,HOU,0022200145,2022-23,2022-11-07,127,134,away,False,0.4235423542354235,0.3435754189944134,0.763265306122449,457,201,159,76,44,0.5310778914240756,0.1,0.0,0.4712103407755582,0.3114754098360656,0.7837837837837838,462,206,158,65,59,0.5699718123031007,0.2,0.4,108.39285714285714,116.21863799283155,110.34172661870502,114.73495058400718,11.886060606060607,15.221212121212123,John Goble,101284
TOR,HOU,0022200165,2022-23,2022-11-09,116,109,home,False,0.4327309236947791,0.3620689655172414,0.7592592592592593,497,232,179,85,50,0.544492285611769,0.182,0.0,0.45491388044579534,0.3638814016172507,0.7644787644787645,476,270,129,117,65,0.559057549774742,0.545,0.6,108.70994248151192,116.39209225700165,114.24936386768448,108.74363327674024,11.941818181818181,12.374242424242425,Marc Davis,1830
HOU,LAC,0022200203,2022-23,2022-11-14,106,122,away,False,0.47075208913649025,0.3373205741626794,0.7424242424242424,554,280,196,95,73,0.5661436856750142,0.538,0.8,0.4383088869715272,0.3522012578616352,0.768025078369906,589,285,221,101,61,0.5498860977712103,0.154,0.2,105.81896551724137,107.29613733905579,108.17477096546864,116.80790960451976,12.735897435897435,11.742490842490842,Rodney Mott,1179
HOU,IND,0022200228,2022-23,2022-11-18,91,99,away,False,0.464041095890411,0.38104448742746616,0.8,576,372,205,89,88,0.5866370733200674,0.538,0.6,0.4409090909090909,0.3534971644612476,0.7620320855614974,685,326,255,113,83,0.5510050115859245,0.2,0.2,113.72822299651568,112.35170969993023,107.00123915737298,114.52513966480447,14.907692307692306,11.126309523809523,Leon Wood,1201
HOU,OKC,0022200287,2022-23,2022-11-26,118,105,home,False,0.46781354051054386,0.3441358024691358,0.7794117647058824,844,478,248,150,120,0.5619423472889499,0.421,0.2,0.4377763739734681,0.3453689167974882,0.7784810126582279,838,390,305,143,92,0.551195606063989,0.222,0.2,110.78384798099763,112.77407054337465,108.72727272727272,114.23376623376625,7.357124183006535,12.5343567251462,Courtney Kirkland,2004
